,N6_AP-193,N6_AP_120,N6_AP_121,N6_AP_122,N6_AP_123,N6_AP_124,N6_AP_125,N6_AP_126,N6_AP_127,N6_AP_128,N6_AP_129,N6_AP_130,N6_AP_131,N6_AP_132,N6_AP_133,N6_AP_134,N6_AP_135,N6_AP_136,N6_AP_137,N6_AP_138,N6_AP_139,N6_AP_140,N6_AP_141,N6_AP_142,N6_AP_143,N6_AP_144,N6_AP_145,N6_AP_147,N6_AP_148,N6_AP_149,N6_AP_15,N6_AP_150,N6_AP_151,N6_AP_152,N6_AP_153,N6_AP_154,N6_AP_155,N6_AP_156,N6_AP_157,N6_AP_158,N6_AP_159,N6_AP_160,N6_AP_161,N6_AP_162,N6_AP_163,N6_AP_164,N6_AP_165,N6_AP_166,N6_AP_167,N6_AP_168,N6_AP_169,N6_AP_170,N6_AP_171,N6_AP_173,N6_AP_174,N6_AP_175,N6_AP_177,N6_AP_178,N6_AP_180,N6_AP_181,N6_AP_182,N6_AP_183,N6_AP_184,N6_AP_185,N6_AP_186,N6_AP_187,N6_AP_188,N6_AP_189,N6_AP_190,N6_AP_191,N6_AP_192,N6_AP_193,N6_AP_194,N6_AP_195,N6_AP_412,N6_AP_414,N6_AP_418,N6_AP_419,N6_AP_58,N6_AP_60,N6_AP_62,N6_AP_63,N6_AP_66,N6_AP_91,N6_AP_92,N6_AP_94,N6_AP_95,N6_AP_96,N6_AP_97,N7-AP-260,N7-AP-327,N7_AP_196,N7_AP_197,N7_AP_20,N7_AP_20-2F,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7_AP_26,N7_AP_27,N7_AP_298,N7_AP_299,N7_AP_3,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_9,nkg6aaaphw46,nkg6aaaphw48,nkg6baaphw43,nkg6baaphw44
N6_AP_168,96,88,100,74,87,100,72,86,100,100,87,88,95,98,84,87,97,100,89,92,85,,98,,,,,,,,72,,100,,,,,,,,,,,,,,96,73,95,,,92,71,91,78,70,89,73,93,82,72,85,,99,99,99,,,,,,99,,,,,,,97,,,,100,,100,,77,78,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_169,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,74,,,93,,88,98,100,92,,99,,100,97,,67,96,,100,,81,96,99,91,,,,,,,,100,,83,80,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_170,78,100,,95,98,,94,95,100,,96,97,99,100,92,95,,,95,95,91,,,,,,,,,,89,,,,,,,,,,,,,,,,81,98,76,92,93,,93,74,79,89,64,85,76,79,87,79,,96,89,94,,,99,93,98,100,95,,,,,,,100,,99,95,,,,98,91,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_171,97,86,,82,87,,79,88,,98,87,91,98,97,85,91,99,,89,92,84,,93,,,,,99,,,75,,,,,,,,,,,,,,,,95,83,92,71,,93,,90,75,72,88,69,94,84,80,84,,100,97,98,,,,,,,,,,,,,,100,,,,,,,88,79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_173,74,97,,93,96,,93,95,,,95,94,96,98,90,93,99,98,94,95,86,,98,,,,,,,,89,,,,,,,,,,,,,,,,77,96,69,91,88,74,90,,82,88,71,87,64,83,86,80,,90,94,92,,,94,95,,97,98,,,,,,,,,94,92,,,,97,90,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_174,80,90,,84,88,,81,86,100,98,89,87,93,96,86,89,96,100,89,90,82,,96,,,98,,,,,77,,,,,,,,,,,,,,,,90,85,85,78,98,79,75,82,,78,73,71,82,67,79,69,,100,83,94,,,98,97,,,100,99,,,,,,100,,95,99,,99,98,86,81,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_175,93,90,,71,87,99,74,87,98,99,87,89,94,97,79,89,97,98,85,88,78,,97,,,,,,,,72,,,,,,,,,,,,,,,,94,76,90,70,100,89,72,88,78,,86,65,92,81,66,81,,,96,,,,,,,,,,,,,,,,,,,,,,81,77,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_177,82,96,100,93,95,,92,96,,98,96,95,96,97,89,97,96,99,93,98,90,,100,,,,,,,,87,,99,,,,,,,,,,,,,,82,94,79,89,92,64,88,71,73,86,,85,76,79,88,80,,95,93,96,,,96,94,,96,96,98,,,,,,98,,98,97,,100,99,96,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_178,94,85,,78,84,99,77,84,99,96,86,86,91,93,78,83,94,96,85,86,77,,92,100,,,,,,99,67,,,,,,,,,,,,,,,,97,77,92,73,,85,69,87,71,65,85,,88,79,68,78,,,97,100,,,100,,,,,100,,,,,,,,,,,98,,81,75,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_180,83,99,,94,96,,95,99,,99,99,96,99,96,89,96,,99,96,98,92,,,,,,,,,,93,,,,,,,,,,,,,,,,88,93,82,93,99,76,94,64,82,92,76,88,,86,91,86,,97,97,99,,,94,99,,94,99,,,,,,,,,96,99,,,,99,93,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_181,87,90,,87,91,,86,90,97,99,89,88,92,98,85,90,98,99,90,89,83,,98,,,,,,,,78,,,,,,,,,,,,,,,,93,86,88,82,,79,84,83,67,81,79,79,86,,78,61,,,95,,,,,98,99,,,,,,,,,,,,,,,,87,84,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_182,92,89,,84,90,99,82,89,96,98,88,88,92,97,81,88,98,99,85,88,73,,97,,,,,,,,65,,,,,,,,,,,,,,,,93,80,89,72,100,87,80,86,79,66,88,68,91,78,,74,,,,,,,,100,,,,,,,,,,,,,,,,,85,79,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_183,85,94,,86,91,,87,91,,97,90,88,92,98,85,90,96,98,89,91,81,,98,,,,,,,,71,,,,,,,,,,,,,,,,90,89,83,85,97,79,84,80,69,81,80,78,86,61,74,,,98,95,97,,,97,99,,,100,,,,,,,100,,100,98,,98,100,91,83,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_185,97,,,,,,,,,,,,,,,100,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,76,99,78,99,67,96,100,90,100,,95,,97,,,98,94,,92,97,96,,76,93,99,85,96,98,,,,,,100,,78,76,92,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_186,76,,,,,,97,,,,,,,,,,,,,,,,,,97,98,95,98,97,,100,,95,99,97,,98,100,100,,99,,,,,,94,,92,99,96,89,97,94,83,96,93,97,97,95,,95,,92,,79,86,91,90,76,80,77,81,91,,,,,97,77,97,80,85,86,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_187,74,,,,,,,,,,,,,,100,,,,,,,100,,93,89,90,87,91,90,100,,,84,92,92,100,90,96,,99,92,93,,,,,95,100,90,99,,94,98,92,94,,96,100,99,,,97,,97,79,,98,77,93,79,70,83,73,76,,,,,89,89,91,84,91,93,100,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_188,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,100,,100,,,,,,,,,,,,,96,86,98,,,84,89,92,87,93,,,,,,,91,,88,89,95,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_189,92,,,,,,,,,,,,,,,,,,,,,93,,88,86,87,85,83,83,95,,99,77,82,81,96,83,84,92,93,89,91,,97,96,,,,,,,,,,,,,,,,,,,,91,77,,,,88,78,91,80,71,,,,,83,98,84,100,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_190,100,,,99,,,,,,,,99,,,100,,98,99,100,,,,,,100,100,,100,,,,99,100,100,,,100,,,,,,,,,,84,99,83,,81,99,,94,98,,96,100,94,,,97,,76,90,93,84,,,90,95,79,92,99,,,,,100,95,,77,80,93,,97,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_191,82,,,,,,100,,,,,,,,,,,,,,,,,100,97,96,96,100,94,,,,93,95,99,,97,98,99,,99,100,,,98,,98,,97,,96,93,,95,97,,94,,99,98,100,99,,93,76,79,89,88,90,,76,79,69,84,,,,,98,83,96,85,89,87,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_192,83,,,,,,,,,,,,,,,,,,,,,,,96,93,95,92,96,91,,,,77,94,95,,94,96,98,,92,97,,,,,,,,,99,98,,,,,,,,99,,,,99,80,70,92,78,95,76,,82,67,76,,,,,92,90,91,90,95,97,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_193,96,,,,,,,,,,,,,,,,,,,,,,,99,98,97,100,96,98,,,,97,,,,100,,,,,100,,,,,91,,94,99,91,100,,97,,,96,,94,,,,,85,77,83,87,91,79,79,82,,80,89,,,,,99,83,,84,87,87,,85,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_194,83,,,,,,,,,,,,,,,,,,,,,,,94,92,93,95,97,96,100,,,86,95,99,,94,99,,,97,95,,,,,,,100,,,95,,98,100,,96,,99,,,100,,96,81,73,93,80,92,69,67,80,,84,,,,,93,88,92,87,92,93,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_195,96,,,,,,,,,,,,,,,,,,,,,,,91,90,92,89,95,93,99,,,86,92,97,,92,98,,,86,91,,100,,,,,,,,,,,99,,98,100,,,,,,98,91,76,,71,99,84,76,89,84,,,,,,90,98,93,96,98,100,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_58,99,,,,,,,,,,,,,,,,100,,,,,92,,68,68,68,72,78,71,84,,89,69,74,79,92,74,81,88,91,73,79,,95,92,100,,99,,97,,,,,,,,,,,,,,,97,89,,83,100,98,92,99,93,90,,,,,,,69,,,,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_60,94,,,,,,,,,,,,,,,,,,,,,,,100,99,97,,,,99,,99,,,,,,,,,,,,,,,100,,100,,100,100,100,,100,,98,,,,,100,,100,77,89,91,98,95,83,90,83,88,98,,,,,,,,88,85,70,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_62,96,,,,,,,,,,,,,,,,,,,,,94,,70,68,70,,85,76,87,,96,73,77,,96,75,,91,94,76,81,,98,95,99,,,,,,,,,,,,,,,,,,,97,91,,84,,96,91,,92,93,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_63,90,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,79,,81,,83,99,,94,95,,98,,96,,,100,,78,80,84,88,100,77,85,90,84,87,96,,,,,,88,,,70,85,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_66,95,,,,,,,,,,,,,,,,,,,,,,,,,99,,99,,,,,100,,,,,,,,,,,,,,79,100,79,100,80,95,,92,99,,97,,99,,,98,,76,85,91,89,,80,89,95,87,92,98,,,,,,85,,70,,76,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_91,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,98,,96,,98,,,,,,,,,,,,,92,86,93,95,,93,87,97,87,93,100,,,,,,70,,85,76,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_92,,,92,98,96,92,98,94,81,81,95,86,77,84,96,89,78,87,90,89,97,84,79,100,96,99,98,76,88,80,,89,96,90,91,90,92,92,81,89,95,87,,93,98,,,,,100,,,,,99,,100,98,,,,98,,,,100,,,,,,,,,,,,,94,,,,,,,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_94,94,,,,,,,,,,,,,,,,,,,,,,,,98,100,99,97,99,,,,100,,,,,,,,,,,,,,,,,,,,,,98,,99,,,,,100,,98,74,87,96,94,97,82,89,85,85,91,,,,,98,70,,87,92,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_95,99,74,,62,77,,72,83,99,98,83,86,94,99,74,88,97,100,84,88,75,,95,,,,,,,,87,,,,,,,,,,,,,,,,,75,99,77,,98,88,97,86,81,96,81,99,87,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,68,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_96,96,80,99,68,70,98,65,79,94,94,77,81,87,90,60,80,90,96,74,83,64,,91,,,99,,,,99,78,,,,,100,,,,,,,,,,,96,80,93,78,,91,79,90,81,77,90,75,93,84,79,83,,,,,,,100,,,,,,,,,,,,,,,,96,,68,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_97,,76,,70,75,100,67,78,96,95,77,87,92,93,70,88,90,100,82,89,70,,95,,,99,,,,,87,,100,100,,,100,,,,,,,,,,99,81,96,81,,98,80,93,85,83,91,80,98,89,87,91,,,,,,,100,,,100,,,,,,,,,,,,,96,,72,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7-AP-260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,92,,97,96,94,70,98,80,92,90,,,,,,,,,,,,,,,,,89,89,95,88,88,84,93,90,87,94,87,89,82,,,,,,,,,,,,,,,86,90,95,88,93,84,98,84,81,75,,,,,,,,,
N7-AP-327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,99,,94,94,94,69,99,86,87,98,,,,,,,,,,,,,,,,,85,73,92,87,78,81,92,86,74,92,81,85,68,,,,,,,,,,,,,,,90,95,96,92,97,91,,88,83,84,,,,,,,,,
N7_AP_196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,98,,98,,,,,,,,,84,77,95,83,90,89,83,87,93,81,89,97,86,94,94,,,,,,,,,,,,,100,,85,88,88,95,100,92,95,100,88,98,98,93,98,,,,,,,,,,,,85,96,79,,,,,,
N7_AP_197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,97,,96,,,,,,,,,88,83,86,73,83,88,80,71,88,82,84,95,84,78,94,99,,,,,,,,,,,,,,74,75,76,92,95,81,85,90,80,85,96,82,91,97,,,,,,,,,,,85,89,72,94,99,,,,
N7_AP_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,97,,,,,,,,,,,,99,93,,97,98,100,97,,,95,99,,95,100,69,64,,,,,,,,,,,,,,93,99,92,99,,95,96,,100,95,,84,,,,,,,,,,,,,91,,95,,64,,,,
N7_AP_20-2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,99,,,,,,,100,97,92,,85,96,74,,,94,,,,,,,,,,,,,,,97,,99,98,92,,100,99,98,100,93,90,,,98,99,93,,94,,,,93,100,95,94,83,77,77,81,71,84,78,77,86,81,,,,,,,,,
N7_AP_212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,96,,,,,,99,,100,,,,85,92,,100,75,89,93,,85,91,,67,93,,99,,,,,,,,,,,,,,,100,100,99,,,,100,,,,,,,,,,,,,,,,,,97,,95,,,,,,
N7_AP_214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,94,,,,,,,73,78,94,80,97,90,,,,,,,,,,,,,,,,,,93,91,74,85,92,92,82,86,90,79,92,84,89,,,,,,,,,,,,,,,98,,,99,,100,,100,97,96,,,,,,,,,
N7_AP_221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,94,,,,100,,73,,67,95,69,94,86,92,,,,,,,,,,100,,,,,,,88,89,73,79,87,87,75,82,86,76,88,83,86,,,,,,,,,,,,,,,97,,100,98,95,98,,93,84,95,,,,,,,,,
N7_AP_228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,94,,,,97,99,78,67,,92,64,92,81,99,,,,,,,,,,96,,97,,,,,91,90,78,80,91,90,82,84,89,76,89,86,87,,,,,,,,,,,,,,,100,100,,100,98,99,,98,97,88,,,99,,,,,,
N7_AP_231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,69,,,,92,,94,95,92,,97,79,87,91,,,,,,,,,,,,,,,,,85,84,94,87,81,80,91,84,77,93,80,83,74,,,,,,,,,,,,,,,86,88,96,88,94,85,97,85,82,78,,,,,,,,,
N7_AP_232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,99,,,,,100,80,69,64,97,,96,88,,,,,,,,,,,,,,,,,,94,93,80,84,93,92,84,88,92,78,94,87,89,,,,,,,,,,,,,,,,,,,,,,100,99,97,,,,,,,,,
N7_AP_257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,86,,,,85,,97,94,92,79,96,,89,85,,,,,,,,,,,,,,,,,85,79,94,90,83,73,92,88,83,94,90,88,85,,,,,97,,99,,,,,,,,68,77,84,76,83,81,92,77,64,74,,,,,,,,,
N7_AP_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,87,,,,96,,90,86,81,87,88,89,,100,,,,,,94,,,99,100,,,,,,,77,81,86,79,81,82,84,69,81,84,78,70,75,,,,,,,,,,,99,,,,93,98,98,98,98,94,,94,91,83,,,,,,,,,
N7_AP_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,98,,,,74,,,92,99,91,,85,100,,,,91,,,,,,,,,,,,,,100,96,99,97,100,91,92,95,91,,100,97,97,,,99,97,79,,94,94,,,83,99,88,85,82,70,61,81,65,84,68,75,83,83,,,,,,,,,
N7_AP_298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,88,99,,85,,,,,,,,,,79,98,95,69,74,85,93,70,80,92,81,85,99,94,,,,,99,,,,,,,,95,,93,93,92,100,95,98,91,94,96,99,,97,99,,,,,,,,,,,,90,95,84,,100,,,,
N7_AP_299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,83,93,,92,,,,,,,,,79,,91,82,78,77,71,86,80,76,83,89,76,88,90,99,,,,96,,,100,,,,,98,99,89,89,89,93,93,91,94,89,93,95,99,95,98,99,,,,,,,,,,,77,85,77,100,96,,,,
N7_AP_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,86,,94,,,,,,,,,91,98,91,,94,97,95,92,91,98,95,96,,96,97,,,,,,,,,,,,,,,,83,94,76,67,79,81,68,72,94,83,77,82,83,89,98,96,95,100,92,98,100,91,,,98,,91,90,,,,,
